Número na Processada	Nome do Museu	Natureza Administrativa	Instituição mantenedora	Endereço Visitação	Número Visitação	Complemento Visitação	Bairro Visitação	CEP Visitação	Município Visitação	UF Visitação	Longitude	Latitude	Endereço Correspondência	Número Correspondência	Complemento Correspondência	Caixa Postal	Bairro Correspondência	CEP Correspondência	Município Correspondência	UF Correspondência	Telefone	E-mail	Site	Antropologia e Etnografia	Arqueologia	Arquivístico	Artes Visuais	Ciências Naturais e História Natural	Ciência e Tecnologia	História	Imagem e Som	Virtual	Outros	2.3 -  Em relação à temática do museu, classifique a instituição em APENAS UMA   opção:	Ano de Abertura	Situação de funcionamento	Segunda_feira	Terça-feira	Quarta-feira	Quinta-feira	Sexta-feira	Sábado	Domingo	O ingresso ao Museu é cobrado?	Valor	[Bebedouro] 3.5 - Assinale as instalações básicas e serviços oferecidos pelo museu:	[Estacionamento  ] 3.5 - Assinale as instalações básicas e serviços oferecidos pelo museu:	[Guarda-volumes  ] 3.5 - Assinale as instalações básicas e serviços oferecidos pelo museu:	[Livraria] 3.5 - Assinale as instalações básicas e serviços oferecidos pelo museu:	[Loja] 3.5 - Assinale as instalações básicas e serviços oferecidos pelo museu:	[Restaurante e/ou lanchonete] 3.5 - Assinale as instalações básicas e serviços oferecidos pelo museu:	[Sanitário] 3.5 - Assinale as instalações básicas e serviços oferecidos pelo museu:	[Teatro/Auditório ] 3.5 - Assinale as instalações básicas e serviços oferecidos pelo museu:	3.5.1 - Capacidade do teatro/auditório (assentos):	O Museu promove visitas guiadas?	O Museu possui infraestrutura para recebimento de turistas estrangeiros?	3.6.1 - O museu dispõe de sinalização visual em outro(s) idioma(s)?	3.6.2 - O museu oferece material de divulgação impresso em outros idiomas?	3.6.3 - O museu oferece audioguia em outros idiomas?	3.6.4 - O museu dispõe de guia/monitor/mediador que fala outro idioma?	3.7 - O museu possui infraestrutura para atender visitantes que apresentam dificuldade de locomoção?	[Bebedouro adaptado] 3.7.1 - Especifique:	[Cadeira de rodas para uso do visitante] 3.7.1 - Especifique:	[Circuito de visitação adaptado] 3.7.1 - Especifique:	[Corrimãos nas escadas e nas rampas] 3.7.1 - Especifique:	Elevadores com cabine e portas de entrada acessíveis para pessoa portadora de deficiência ou com mobilidade reduzida	Rampa de acesso	sanitários adaptados com equipamentos e acessórios próprios	[Telefone público adaptado] 3.7.1 - Especifique:	Vagas exclusivas em estacionamento	[Vaga de estacionamento exclusiva para idosos] 3.7.1 - Especifique:	3.8 - O museu oferece instalações e serviços destinados às pessoas com deficiências auditivas e visuais?	[Guia multimídia (audioguia com monitor)] 3.8.1 - Especifique:	[Maquetes táteis ou mapas em relevo do museu] 3.8.1 - Especifique:	[Obras e reproduções táteis] 3.8.1 - Especifique:	[Piso tátil] 3.8.1 - Especifique:	sinalização em braile	[Tradutor de Linguagem Brasileira de Sinais (LIBRAS)] 3.8.1 - Especifique:	textos/etiquetas em braile com informações sobre os objetos em exposição	O Museu possui arquivo histórico?	O arquivo tem acesso ao público?	O Museu possui biblioteca?	A biblioteca tem acesso ao público?	1.3 -  CNPJ:	2.2  -  Em relação à sua atividade principal, indique a opção que melhor caracterize a instituição:	2.2.1 -  A instituição possui acervo:	2.5 - O museu é de caráter comunitário?	2.5.1 - A comunidade realiza atividades museológicas (inventário participativo, museografia...)?	2.6 - O Museu é:	2.7 - Com relação ao acervo, indique a opção que melhor caracterize a instituição:	2.7.1 -  O comodato/empréstimo está formalizado por meio de documento legal?	2.7.2 - Especifique, em meses , a duração do comodato/empréstimo (havendo mais de um contrato especificar o de maior duração):	2.8 - Com relação às exposições, indique a opção que melhor caracterize a instituição:	2.9 - O museu é itinerante?	2.9.1 -  O museu depende de recursos financeiros de outra instituição para a itinerância da exposição?	2.10 -  O museu possui também acervo material?	2.10.1 - Esse acervo encontra-se em exposição presencial?	[O museu NÃO possui acervo em exposições em núcleo edificado] 2.11 - Marque a(s) opção(ões) que caracteriza(m) o museu:	[A exposição do museu está no próprio território] 2.11 - Marque a(s) opção(ões) que caracteriza(m) o museu:	[O museu possui núcleo(s) edificado(s) com acervo em exposição] 2.11 - Marque a(s) opção(ões) que caracteriza(m) o museu:	[O museu possui núcleo edificado apenas como sede técnico administrativa] 2.11 - Marque a(s) opção(ões) que caracteriza(m) o museu:	[O Museu NÃO possui núcleo edificado e NÃO possui sede técnico-administrativa] 2.11 - Marque a(s) opção(ões) que caracteriza(m) o museu:	[O acervo do museu é composto de núcleos edificados] 2.11 - Marque a(s) opção(ões) que caracteriza(m) o museu:	2.12 -  Identifique o tipo/categoria de manejo da Unidade de Conservação:	2.12.1 - Especifique:	2.12.2 - Especifique:	3.3 - O museu é aberto ao púbico em geral ou somente para públicos específicos?	4.1 - O museu possui instrumento de criação?	4.1.1 - Especifique instrumento de criação:	Nº e data da Lei:	Nº e data do Decreto-Lei:	Nº e data da Decreto:	Nº e data da Portaria:	Nº e data da Resolução:	Nº e data do Ata de Reunião:	Natureza do documento, número e data:	4.2 - O museu possui regimento interno?	4.3 -  O museu possui plano museológico?	6.6 - O museu possui política de aquisição de acervo?	6.7 - O museu possui política de descarte de acervo?
1.00.19.4023	Parque Estadual Matas do Segredo	Pública Estadual  	-	Rua Josefina Mingarelli	s/n	-	Jardim Presidente	79015-350	Campo Grande	MS	-	-	Rua Desembargador Leão Neto Setor 3, Quadra 3	s/n	-	-	Parque dos Poderes  	79031-902	Campo Grande	MS	(67) 3318-5719	  -  	  -  	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-	2000	Aberto	  -      	  -      	  -      	  -      	  -      	  -      	  -      	N	0	-	-	-	-	-	-	-	-	-	N	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1.00.61.8260	Museu da Escola Politécnica da Universidade Federal do Rio de Janeiro	Pública Federal  	-	UFRJ - Avenida Athos da Silveira Ramos	149	Prédio do Centro de Tecnologia - Bloco A - 2º andar - Cidade Universitária	Ilha do Fundão	21949-909	Rio de Janeiro	RJ	-43.228568	-22.904424	UFRJ - Avenida Athos da Silveira Ramos	149	Prédio do Centro de Tecnologia - Bloco A - 2º andar - Cidade Universitária	    	Ilha do Fundão	21949-909	Rio de Janeiro	RJ	(21) 3938-7723 (Museu) / (21) 3938-7065 (Diretoria da Esccola)	museu_da_poli@poli.ufrj.br	www.poli.ufrj.br/museu	NULL	NULL	NULL	NULL	NULL	5	6	7	NULL	NULL	-	1977	Aberto	09:00 - 16:00	09:00 - 16:00	09:00 - 16:00	09:00 - 16:00	09:00 - 16:00	Não abre	Não abre	N	0	-	-	-	-	-	-	-	-	-	S	N	-	-	-	-	-	-	-	-	-	S	S	N	-	N	-	-	-	-	-	-	N	-	N	S	S	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1.00.99.3370	Museu Municipal Marechal Bormann	Pública Municipal  	-	Rua Doutor José de Miranda Ramos	421	 	  -  	89820-000	Xanxerê	SC	-52.402314	-26.877914	Rua Doutor José de Miranda Ramos	421	 	    	  -  	89820-000	Xanxerê	SC	  -  	  -  	  -  	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-	-	Em implantação	  -      	  -      	  -      	  -      	  -      	  -      	  -      	N	0	-	-	-	-	-	-	-	-	-	N	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1.01.01.4818	Memorial Alemão - Bosque Alemão 	Pública Municipal  	-	Rua Francisco Schaffer	s/n	Jardim Schaffer	Vista Alegre	80820-200	Curitiba	PR	-49.285545	-25.406096	Rua Francisco Schaffer	s/n	Jardim Schaffer	    	Vista Alegre	80820-200	Curitiba	PR	  -  	parquesepracas@smma.curitiba.pr.gov.br	www.curitiba.pr.gov.br; www.curitiba-parana.net/parques/alemao.htm	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-	-	Aberto	  -      	  -      	  -      	  -      	  -      	  -      	  -      	N	0	-	-	-	-	-	-	-	-	-	N	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1.01.04.9936	Museu Municipal de Caxias do Sul	Pública Municipal  	-	Rua Visconde de Pelotas	586	-	Centro	95020-180	Caxias do Sul	RS	-51.179675	-29.1634	Rua Visconde de Pelotas	586	-	    	Centro	95020-180	Caxias do Sul	RS	(54) 3221-2423 / (54) 3215-4445	museumunicipal@caxias.rs.gov.br	www.caxias.rs.gov.br/cultura/; facebook.com/Museu Municipal de Caxias do Sul	1	2	NULL	3	NULL	NULL	6	7	NULL	NULL	História	1947	Aberto	Não abre	09:00 - 17:00	09:00 - 17:00	09:00 - 17:00	09:00 - 17:00	09:00 - 17:00	Não abre	N	 	Sim	Não	Não	Não	Não	Não	Sim	Sim	30	S	N	N/A	N/A	N/A	N/A	Não	N/A	N/A	N/A	N/A	N	S	N	N/A	N	N/A	Não	N/A	N/A	N/A	N/A	N	N/A	N	N	N	S	S	88.830.609/0001-39	Museu	N/A	Não	N/A	Tradicional/Clássico	Possui acervo próprio	N/A	N/A	Possui exposição de longa duração e realiza exposições de curta duração	Sim	Não	N/A	N/A	Não	Não	Não	-	Não	Não	N/A	N/A	N/A	Para público em geral	Sim	Lei	lei 01 de 03/10/1947	N/A	N/A	N/A	N/A	N/A	N/A	Sim	Não	Sim	Sim
1.01.11.0870	Museu Municipal de Quinze de Novembro	Pública Municipal  	-	Praça Jango Vidal	s/n	 	  -  	98230-000	Quinze de Novembro	RS	-53.101624	-28.747039	Praça Jango Vidal	s/n	-	    	    	98230-000	Quinze de Novembro	RS	  -  	  -  	  -  	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	-	-	Aberto	  -      	  -      	  -      	  -      	  -      	  -      	  -      	N	0	-	-	-	-	-	-	-	-	-	N	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1.01.21.3013	Museu Histórico Municipal de São Joaquim - Espaço Assis Chateaubriand	Pública Municipal  	-	Rua Major Jacinto Goulart	168	 	Centro	88600-000	São Joaquim	SC	-49.937584	-28.290464	Rua Major Jacinto Goulart	168	 	    	Centro	88600-000	São Joaquim	SC	(49) 3233-2798	estelahugen@hotmail.com	  -  	NULL	2	NULL	3	NULL	5	6	7	NULL	11	-	2000	Aberto	Não abre	09:00 - 11:00 / 13:30 - 17:00	09:00 - 11:00 / 13:30 - 17:00	09:00 - 11:00 / 13:30 - 17:00	09:00 - 11:00 / 13:30 - 17:00	09:00 - 11:00 / 13:30 - 17:00	09:00 - 11:00 / 13:30 - 17:00	S	R$ 1,00 - público geral; R$ 0,50 - estudantes da rede pública, estudantes da rede privada. Gratuidade - idosos e crianças até 07 anos gratuidade.	-	-	-	-	-	-	-	-	-	S	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1.01.24.2888	Museu Histórico e Arqueológico Chico Ribeiro	Pública Municipal  	-	Praça do Rosário	12	-	Bom Sucesso	38430-000	Tupaciguara	MG	-48.709766	-18.589272	Praça do Rosário	12	-	    	Bom Sucesso	38430-000	Tupaciguara	MG	(34) 3281-0070 / (34) 3281-0045 / (34) 9928-8930 / (34) 9972-4421	museuhacr@tupaciguara.mg.gov.br	www.tupaciguara.mg.gov.br; prefeituramunicipaldetupaciguara.mg.gov.br	1	2	NULL	3	4	NULL	6	7	NULL	NULL	-	1987	Aberto	Não abre	08:00 - 11:30 / 12:30 - 17:00	08:00 - 11:30 / 12:30 - 17:00	08:00 - 11:30 / 12:30 - 17:00	08:00 - 11:30 / 12:30 - 17:00	Mediante agendamento	Mediante agendamento	N	 	-	-	-	-	-	-	-	-	-	S	N	-	-	-	-	-	-	-	-	-	N	S	N	-	N	-	-	-	-	-	-	N	-	N	N	N	N	N	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1.01.30.1081	Memorial Padre Antônio Vieira SJ	Privada  	-	Avenida Major Felizardo de Pinho Pessoa	s/n	-	Centro	62300-000	Viçosa do Ceará	CE	-	-	Avenida Major Felizardo de Pinho Pessoa	s/n	-	    	Centro	62300-000	Viçosa do Ceará	CE	(85) 3632-1125 / (85) 9963-2489	barretg1@gmail.com	https://pt-br.facebook.com/pages/Memorial-Pe-Ant%C3%B4nio-Vieira/216607331809895	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Artes, Arquitetura e Linguística	2012	Aberto	08:30 - 11:30 / 14:00 - 16:30	08:30 - 11:30 / 14:00 - 16:30	08:30 - 11:30 / 14:00 - 16:30	08:30 - 11:30 / 14:00 - 16:30	08:30 - 11:30 / 14:00 - 16:30	08:30 - 11:30 / 14:00 - 16:30	09:00 - 11:30	N	-	Não	Sim	Não	Sim	Sim	Não	Sim	Não	N/A	S	N	N/A	N/A	N/A	N/A	Sim	Não	Não	Não	Sim	N	N	N	Não	N	Não	Não	N/A	N/A	N/A	N/A	N	N/A	N	S	N	N	N		Museu	N/A	Sim	Sim	Tradicional/Clássico	Possui acervo próprio	N/A	N/A	Possui exposição de longa duração e realiza exposições de curta duração	Não	N/A	N/A	N/A	Não	Não	Não	-	Não	Não	N/A	N/A	N/A	Para público em geral	Sim	Ata de Reunião	N/A	N/A	N/A	N/A	N/A	7 de setembro de 2012-  01/2012	N/A	Sim	Sim	Sim	Não
1.01.32.5794	Museu do Cangaço e da Cidade de Triunfo	Pública Municipal  	-	Praça Monsenhor Elizeu	s/n	 	Centro	56870-000	Triunfo	PE	-38.098125	-7.833128	Praça Monsenhor Elizeu	s/n	 	    	Centro	56870-000	Triunfo	PE	(87) 3846-1719	  -  	  -  	NULL	NULL	NULL	3	NULL	NULL	6	NULL	NULL	NULL	-	1976	Aberto	08:00 - 12:00 / 13:00 - 17:00	08:00 - 12:00 / 13:00 - 17:00	08:00 - 12:00 / 13:00 - 17:00	08:00 - 12:00 / 13:00 - 17:00	08:00 - 12:00 / 13:00 - 17:00	08:00 - 12:00 / 13:00 - 17:00	08:00 - 12:00	N	0	-	-	-	-	-	-	-	-	-	S	N	-	-	-	-	-	-	-	-	-	N	N	N	-	N	-	-	-	-	-	-	N	-	N	S	S	S	S	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
